,gamma,epsilon,time,iterations,reward
0,0.1,0.01,0.0,1.0,0.3333333333333333
1,0.1,1e-05,0.0,4.0,0.3452345679012345
2,0.1,1e-08,0.0,7.0,0.34523902560585273
3,0.1,1e-12,0.0010004043579101562,11.0,0.34523902800750506
4,0.3,0.01,0.0010008811950683594,3.0,0.3733333333333333
5,0.3,1e-05,0.0,8.0,0.3751011333333333
6,0.3,1e-08,0.0010008811950683594,13.0,0.37510280006799995
7,0.3,1e-12,0.001001119613647461,20.0,0.3751028020924122
8,0.6,0.01,0.0,6.0,0.44511999999999996
9,0.6,1e-05,0.001001119613647461,17.0,0.44764703969771513
10,0.6,1e-08,0.001001119613647461,29.0,0.44764929796210945
11,0.6,1e-12,0.0030028820037841797,46.0,0.4476493000563738
12,0.9,0.01,0.0020020008087158203,26.0,0.6375395830635081
13,0.9,1e-05,0.0050046443939208984,77.0,0.6390188071448295
14,0.9,1e-08,0.008007526397705078,128.0,0.6390201468190303
15,0.9,1e-12,0.013011693954467773,195.0,0.6390201481184682
